game_id,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.isActive,away.venue.id,season,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,away.color,away.alternateColor,away.logo,status.type.altDetail
220509011,220509011,s:40~l:59~e:220509011~c:220509011,2002-05-10T02:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-10T02:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,TRUE,3438,2002,,,,,,,,,,,,,,,,
220510016,220510016,s:40~l:59~e:220510016~c:220510016,2002-05-10T23:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-10T23:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,2002,2029,Target Center,Minneapolis,MN,19006,FALSE,playoff,Playoff Series,NYL Wins series 2-1,TRUE,3,"[{'id': '16', 'uid': 's:40~l:59~t:16', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/16?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}]",0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,
220511010,220511010,s:40~l:59~e:220511010~c:220511010,2002-05-11T23:30Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-11T23:30Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,TRUE,,,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,TRUE,3438,2002,,,,,,,,,,,,,,,,
220511008,220511008,s:40~l:59~e:220511008~c:220511008,2002-05-12T00:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-12T00:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,5084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,,2002,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,
220511006,220511006,s:40~l:59~e:220511006~c:220511006,2002-05-12T02:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-12T02:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,2002,,,,,,,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,
220511013,220511013,s:40~l:59~e:220511013~c:220511013,2002-05-12T02:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-12T02:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,TRUE,3423,2002,1841,STAPLES Center,Los Angeles,CA,19068,TRUE,,,,,,,,,,
220512011,220512011,s:40~l:59~e:220512011~c:220512011,2002-05-13T01:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-13T01:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,2002,,,,,,,,,,,,,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,
220513003,220513003,s:40~l:59~e:220513003~c:220513003,2002-05-13T23:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-13T23:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,,2002,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,
220515005,220515005,s:40~l:59~e:220515005~c:220515005,2002-05-16T00:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-16T00:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,TRUE,3417,2002,3417,Quicken Loans Arena,Cleveland,OH,20562,FALSE,,,,,,,,,,
220515004,220515004,s:40~l:59~e:220515004~c:220515004,2002-05-16T00:30Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-16T00:30Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,2002,1847,United Center,Chicago,IL,21711,FALSE,,,,,,,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,
